symbol,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
ETHUSDT,129,76,52,58.91,5.676916,0.044007,0.2167,1005.676916,6,35,73,15
BTCUSDT,93,48,44,51.61,-0.173612,-0.001867,0.3203,999.826388,6,32,40,15
