symbol,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
BNBUSDT,138,85,49,61.59,11.089876,0.080361,0.1917,1011.089876,6,28,77,27
DOGEUSDT,176,109,62,61.93,3.205601,0.018214,0.7854,1003.205601,3,33,115,25
ADAUSDT,155,97,54,62.58,0.276309,0.001783,0.4615,1000.276309,2,39,102,12
TRXUSDT,54,31,22,57.41,-1.210924,-0.022425,0.2735,998.789076,3,15,22,14
