direction,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
SHORT,132,81,43,61.36,3.935762,0.029816,0.6293,1003.935762,1,31,90,10
LONG,385,231,129,60.0,-8.218847,-0.021348,1.3084,991.781153,1,85,267,32
