direction,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
LONG,178,104,71,58.43,3.896273,0.021889,0.2469,1003.896273,9,52,85,32
SHORT,127,83,43,65.35,3.229289,0.025427,0.3956,1003.229289,2,32,79,14
