direction,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
LONG,389,261,118,67.1,6.957587,0.017886,0.9673,1006.957587,3,82,267,37
SHORT,137,76,52,55.47,6.849154,0.049994,0.5961,1006.849154,1,32,86,18
