direction,trades,wins,losses,win_rate,net_pnl,avg_pnl,max_dd_pct,final_balance,tp2_hit,sl_hit,trailing_stop,time_stop
SHORT,138,85,40,61.59,15.718288,0.113901,0.6497,1015.718288,1,25,95,17
LONG,391,240,133,61.38,5.365609,0.013723,0.9919,1005.365609,4,86,270,31
